seed,model,year,regime_distance,auc,baseline,delta,in_sample,n_year
3,LogReg,2013,0.5302155563335156,0.7575936060122571,0.7365733561538655,0.02102024985839157,True,4660
3,LogReg,2014,0.48391871078063703,0.7328140229044834,0.7365733561538655,-0.0037593332493821574,True,4648
3,LogReg,2015,0.5335377902018777,0.7248454554235487,0.7365733561538655,-0.01172790073031682,True,4623
3,LogReg,2016,0.5143628864667713,0.7353823851968003,0.7365733561538655,-0.0011909709570652183,True,4578
3,LogReg,2017,0.5100137549795515,0.7355908680535547,0.7365733561538655,-0.0009824881003108743,True,4531
3,LogReg,2018,0.5203220162921656,0.7422258238270203,0.7365733561538655,0.0056524676731547485,True,4507
3,LogReg,2019,0.5699124274877286,0.7222341981676803,0.7365733561538655,-0.014339157986185236,False,4462
3,LogReg,2020,0.7627234793573602,0.7348646084414585,0.7365733561538655,-0.0017087477124070327,False,4435
3,LogReg,2021,0.6701010295083019,0.6606767039015703,0.7365733561538655,-0.07589665225229525,False,4408
3,LogReg,2022,0.6172927635028237,0.6618102899736389,0.7365733561538655,-0.07476306618022666,False,4391
3,LogReg,2023,0.6383306302131604,0.7124186007361325,0.7365733561538655,-0.024154755417733043,False,4380
3,RF,2011,0.5655090733200585,0.7245227757241487,0.7384836792361952,-0.013960903512046485,True,4655
3,RF,2012,0.5302489267782109,0.7570191263872292,0.7384836792361952,0.018535447151034057,True,4687
3,RF,2013,0.5333309789807497,0.7621987285587184,0.7384836792361952,0.02371504932252322,True,4660
3,RF,2014,0.49816294677535683,0.7348750203053932,0.7384836792361952,-0.003608658930801978,True,4648
3,RF,2015,0.5086738174572472,0.7226383656911041,0.7384836792361952,-0.01584531354509111,True,4623
3,RF,2016,0.48634961194283044,0.7306379521482594,0.7384836792361952,-0.007845727087935739,True,4578
3,RF,2017,0.5182943392469284,0.7392021552469313,0.7384836792361952,0.0007184760107361576,True,4531
3,RF,2018,0.5397780329123611,0.7437070773137373,0.7384836792361952,0.00522339807754213,True,4507
3,RF,2019,0.5920336903168228,0.7305976852208278,0.7384836792361952,-0.007885994015367381,False,4462
3,RF,2020,0.8007083319680419,0.7447561413405815,0.7384836792361952,0.006272462104386367,False,4435
3,RF,2021,0.7099009833050853,0.6743796109993293,0.7384836792361952,-0.06410406823686587,False,4408
3,RF,2022,0.6574270283474892,0.6774611398963731,0.7384836792361952,-0.061022539339822046,False,4391
3,RF,2023,0.6550689295644115,0.7053608094906505,0.7384836792361952,-0.03312286974554468,False,4380
3,GBM,2011,0.5953167942337817,0.7323986876332415,0.750529897164524,-0.018131209531282555,True,4655
3,GBM,2012,0.553379700559744,0.7757211770004347,0.750529897164524,0.02519127983591074,True,4687
3,GBM,2013,0.5465706295538808,0.7735835458200995,0.750529897164524,0.023053648655575465,True,4660
3,GBM,2014,0.5143517532514967,0.7489174687296947,0.750529897164524,-0.0016124284348293383,True,4648
3,GBM,2015,0.5339347963543032,0.7333357480923404,0.750529897164524,-0.01719414907218364,True,4623
3,GBM,2016,0.522205670299843,0.7492852557801313,0.750529897164524,-0.0012446413843927306,True,4578
3,GBM,2017,0.5313475009983453,0.748225570986765,0.750529897164524,-0.0023043261777589974,True,4531
3,GBM,2018,0.5650940353179159,0.7513009060654444,0.750529897164524,0.0007710089009204113,True,4507
3,GBM,2019,0.592918618920125,0.7379064336489849,0.750529897164524,-0.012623463515539113,False,4462
3,GBM,2020,0.7971858803643238,0.7290021283142726,0.750529897164524,-0.021527768850251428,False,4435
3,GBM,2021,0.7013270844626818,0.678308355882421,0.750529897164524,-0.07222154128210301,False,4408
3,GBM,2022,0.6531868887821101,0.6849786383056086,0.750529897164524,-0.06555125885891544,False,4391
3,GBM,2023,0.654199779888786,0.7208269884631768,0.750529897164524,-0.029702908701347175,False,4380
4,LogReg,2011,0.5644168472066781,0.706419373438401,0.7284625653091863,-0.022043191870785295,True,4655
4,LogReg,2012,0.5336600255443352,0.7423295071598179,0.7284625653091863,0.013866941850631642,True,4687
4,LogReg,2013,0.5629271041442548,0.7474266312149696,0.7284625653091863,0.018964065905783256,True,4660
4,LogReg,2014,0.5053561130334487,0.7333632091912814,0.7284625653091863,0.0049006438820951015,True,4648
4,LogReg,2015,0.5238120768199345,0.7179660280435474,0.7284625653091863,-0.010496537265638928,True,4623
4,LogReg,2016,0.5048411937719385,0.7367474325072259,0.7284625653091863,0.008284867198039558,True,4578
4,LogReg,2017,0.5188341812369647,0.7409050902156374,0.7284625653091863,0.012442524906451147,True,4531
4,LogReg,2018,0.5414926003349512,0.7102562583028382,0.7284625653091863,-0.018206307006348066,True,4507
4,LogReg,2019,0.589367269944109,0.7029795480499705,0.7284625653091863,-0.025483017259215757,False,4462
4,LogReg,2020,0.737299149471895,0.7426635069764843,0.7284625653091863,0.014200941667298017,False,4435
4,LogReg,2021,0.661489994028676,0.6401298926435444,0.7284625653091863,-0.08833267266564193,False,4408
4,LogReg,2022,0.5947496110182677,0.6532762015389917,0.7284625653091863,-0.07518636377019461,False,4391
4,LogReg,2023,0.6248789878956031,0.7020131211404476,0.7284625653091863,-0.026449444168738734,False,4380
4,RF,2011,0.5730617190147136,0.7101503940034596,0.7299291749355326,-0.01977878093207297,True,4655
4,RF,2012,0.540878526767913,0.7368235501498325,0.7299291749355326,0.006894375214299919,True,4687
4,RF,2013,0.5364023359459045,0.7581320450885668,0.7299291749355326,0.028202870153034243,True,4660
4,RF,2014,0.47763480392156865,0.7432170009355862,0.7299291749355326,0.013287826000053626,True,4648
4,RF,2015,0.4925914860126756,0.7202189269372732,0.7299291749355326,-0.00971024799825937,True,4623
4,RF,2016,0.45444331578785363,0.7408267224237952,0.7299291749355326,0.01089754748826266,True,4578
4,RF,2017,0.5091022400682654,0.7349038118988243,0.7299291749355326,0.004974636963291701,True,4531
4,RF,2018,0.5373035224571547,0.7036683111842008,0.7299291749355326,-0.026260863751331742,True,4507
4,RF,2019,0.5867883300038994,0.7357537780072991,0.7299291749355326,0.0058246030717665764,False,4462
4,RF,2020,0.778820313223983,0.7432122584794341,0.7299291749355326,0.013283083543901508,False,4435
4,RF,2021,0.6986529059299136,0.6728661820973514,0.7299291749355326,-0.05706299283818117,False,4408
4,RF,2022,0.624539272748228,0.6802892899575126,0.7299291749355326,-0.049639884978019966,False,4391
4,RF,2023,0.6273348601184079,0.6964398471697508,0.7299291749355326,-0.03348932776578173,False,4380
4,GBM,2011,0.5849293583727784,0.7171079185085527,0.7396484296086797,-0.022540511100127003,True,4655
4,GBM,2012,0.5504902913309165,0.7487596043176658,0.7396484296086797,0.009111174708986036,True,4687
4,GBM,2013,0.5611052200194662,0.7657441735635198,0.7396484296086797,0.026095743954840045,True,4660
4,GBM,2014,0.5023492853023562,0.7516438273594721,0.7396484296086797,0.011995397750792391,True,4648
4,GBM,2015,0.5229321433627876,0.7333185899077372,0.7396484296086797,-0.0063298397009424745,True,4623
4,GBM,2016,0.48987658723967037,0.7462435684562244,0.7396484296086797,0.0065951388475447015,True,4578
4,GBM,2017,0.5375657585542972,0.7461323057901464,0.7396484296086797,0.00648387618146673,True,4531
4,GBM,2018,0.5595820985972961,0.7171775535702822,0.7396484296086797,-0.02247087603839748,True,4507
4,GBM,2019,0.6012726229040882,0.72758550927565,0.7396484296086797,-0.012062920333029692,False,4462
4,GBM,2020,0.7755884533407469,0.749019587282946,0.7396484296086797,0.009371157674266328,False,4435
4,GBM,2021,0.693928753640563,0.6616135662898253,0.7396484296086797,-0.07803486331885445,False,4408
4,GBM,2022,0.6225004322019247,0.6740342742567124,0.7396484296086797,-0.06561415535196735,False,4391
4,GBM,2023,0.6385815266730666,0.7111890899750635,0.7396484296086797,-0.028459339633616243,False,4380
