seed,model,n,tau,year,alarm_rate,n_frame
4,RF,800,0.697278937981864,2023,0.5165,1311
4,GBM,25,0.5237219887955182,2019,0.0515,1330
4,GBM,25,0.5237219887955182,2020,0.05271084337349398,1321
4,GBM,25,0.5237219887955182,2021,0.16008004002001,1305
4,GBM,25,0.5237219887955182,2022,0.0935,1308
4,GBM,25,0.5237219887955182,2023,0.059,1311
4,GBM,50,0.5952104097452935,2019,0.0525,1330
4,GBM,50,0.5952104097452935,2020,0.052,1321
4,GBM,50,0.5952104097452935,2021,0.2225,1305
4,GBM,50,0.5952104097452935,2022,0.156,1308
4,GBM,50,0.5952104097452935,2023,0.0815,1311
4,GBM,100,0.643328125,2019,0.072,1330
4,GBM,100,0.643328125,2020,0.0495,1321
4,GBM,100,0.643328125,2021,0.3815,1305
4,GBM,100,0.643328125,2022,0.293,1308
4,GBM,100,0.643328125,2023,0.121,1311
4,GBM,200,0.6746318095881515,2019,0.0975,1330
4,GBM,200,0.6746318095881515,2020,0.05,1321
4,GBM,200,0.6746318095881515,2021,0.599,1305
4,GBM,200,0.6746318095881515,2022,0.4845,1308
4,GBM,200,0.6746318095881515,2023,0.198,1311
4,GBM,400,0.6919245242764138,2019,0.097,1330
4,GBM,400,0.6919245242764138,2020,0.034,1321
4,GBM,400,0.6919245242764138,2021,0.8255,1305
4,GBM,400,0.6919245242764138,2022,0.7365,1308
4,GBM,400,0.6919245242764138,2023,0.274,1311
4,GBM,800,0.7070218451096691,2019,0.136,1330
4,GBM,800,0.7070218451096691,2020,0.032,1321
4,GBM,800,0.7070218451096691,2021,0.9725,1305
4,GBM,800,0.7070218451096691,2022,0.9585,1308
4,GBM,800,0.7070218451096691,2023,0.419,1311
