panel,cutoff,seed,model,year,elapsed,auc,baseline,delta,n,n_baseline
imbalanced,2016,3,RF,2019,3,0.7297405496958966,0.7397255444735099,-0.009984994777613276,1349,8433
imbalanced,2016,3,RF,2020,4,0.7348934560746705,0.7397255444735099,-0.004832088398839418,1350,8433
imbalanced,2016,3,RF,2021,5,0.6602054857882929,0.7397255444735099,-0.07952005868521705,1342,8433
imbalanced,2016,3,RF,2022,6,0.6666075811289882,0.7397255444735099,-0.0731179633445217,1342,8433
imbalanced,2016,3,RF,2023,7,0.7003512316062532,0.7397255444735099,-0.03937431286725668,1330,8433
imbalanced,2016,3,GBM,2017,1,0.7441232543844484,0.7526800497114569,-0.008556795327008482,1382,8433
imbalanced,2016,3,GBM,2018,2,0.7488181232325953,0.7526800497114569,-0.0038619264788615215,1370,8433
imbalanced,2016,3,GBM,2019,3,0.7325018605486694,0.7526800497114569,-0.020178189162787463,1349,8433
imbalanced,2016,3,GBM,2020,4,0.729710497974255,0.7526800497114569,-0.022969551737201832,1350,8433
imbalanced,2016,3,GBM,2021,5,0.668564548208793,0.7526800497114569,-0.08411550150266389,1342,8433
imbalanced,2016,3,GBM,2022,6,0.6788860103626942,0.7526800497114569,-0.07379403934876261,1342,8433
imbalanced,2016,3,GBM,2023,7,0.7204112241071907,0.7526800497114569,-0.03226882560426614,1330,8433
imbalanced,2016,4,LogReg,2017,1,0.7407322031056811,0.7309450494037997,0.009787153701881435,1353,8353
imbalanced,2016,4,LogReg,2018,2,0.7102118118829972,0.7309450494037997,-0.020733237520802472,1347,8353
imbalanced,2016,4,LogReg,2019,3,0.7021862796510683,0.7309450494037997,-0.028758769752731395,1330,8353
imbalanced,2016,4,LogReg,2020,4,0.7416883371081844,0.7309450494037997,0.010743287704384707,1321,8353
imbalanced,2016,4,LogReg,2021,5,0.6363036937059647,0.7309450494037997,-0.09464135569783494,1305,8353
imbalanced,2016,4,LogReg,2022,6,0.6502493089478898,0.7309450494037997,-0.08069574045590988,1308,8353
imbalanced,2016,4,LogReg,2023,7,0.7015475668097221,0.7309450494037997,-0.029397482594077595,1311,8353
imbalanced,2016,4,RF,2017,1,0.7310243299314738,0.7387210485667604,-0.007696718635286537,1353,8353
